scenario,parameter,domain,level,outcome,value,baseline_value,delta_from_baseline
septic_shock,airway_resistance_factor,respiration,1.2667,spo2_nadir,91.627,96.22,-4.593
septic_shock,airway_resistance_factor,respiration,1.2667,map_nadir,54.76,54.76,0.0
septic_shock,airway_resistance_factor,respiration,1.2667,lactate_peak,1.549,1.518,0.031
septic_shock,airway_resistance_factor,respiration,1.2667,rescue_margin,0.986,0.996,-0.01
septic_shock,airway_resistance_factor,respiration,1.5,spo2_nadir,87.61,96.22,-8.61
septic_shock,airway_resistance_factor,respiration,1.5,map_nadir,54.76,54.76,0.0
septic_shock,airway_resistance_factor,respiration,1.5,lactate_peak,1.884,1.518,0.366
septic_shock,airway_resistance_factor,respiration,1.5,rescue_margin,0.886,0.996,-0.11
septic_shock,airway_resistance_factor,respiration,1.7333,spo2_nadir,83.593,96.22,-12.627
septic_shock,airway_resistance_factor,respiration,1.7333,map_nadir,53.127,54.76,-1.633
septic_shock,airway_resistance_factor,respiration,1.7333,lactate_peak,2.341,1.518,0.823
septic_shock,airway_resistance_factor,respiration,1.7333,rescue_margin,0.756,0.996,-0.24
septic_shock,airway_resistance_factor,respiration,1.9667,spo2_nadir,79.573,96.22,-16.647
septic_shock,airway_resistance_factor,respiration,1.9667,map_nadir,51.493,54.76,-3.267
septic_shock,airway_resistance_factor,respiration,1.9667,lactate_peak,2.799,1.518,1.281
septic_shock,airway_resistance_factor,respiration,1.9667,rescue_margin,0.626,0.996,-0.37
septic_shock,airway_resistance_factor,respiration,2.2,spo2_nadir,75.556,96.22,-20.664
septic_shock,airway_resistance_factor,respiration,2.2,map_nadir,49.86,54.76,-4.9
septic_shock,airway_resistance_factor,respiration,2.2,lactate_peak,3.256,1.518,1.738
septic_shock,airway_resistance_factor,respiration,2.2,rescue_margin,0.491,0.996,-0.505
septic_shock,lactate_clearance_factor,metabolism,0.45,spo2_nadir,96.22,96.22,0.0
septic_shock,lactate_clearance_factor,metabolism,0.45,map_nadir,54.76,54.76,0.0
septic_shock,lactate_clearance_factor,metabolism,0.45,lactate_peak,1.54,1.518,0.022
septic_shock,lactate_clearance_factor,metabolism,0.45,rescue_margin,0.996,0.996,0.0
septic_shock,lactate_clearance_factor,metabolism,0.5917,spo2_nadir,96.22,96.22,0.0
septic_shock,lactate_clearance_factor,metabolism,0.5917,map_nadir,54.76,54.76,0.0
septic_shock,lactate_clearance_factor,metabolism,0.5917,lactate_peak,1.53,1.518,0.012
septic_shock,lactate_clearance_factor,metabolism,0.5917,rescue_margin,0.996,0.996,0.0
septic_shock,lactate_clearance_factor,metabolism,0.7333,spo2_nadir,96.22,96.22,0.0
septic_shock,lactate_clearance_factor,metabolism,0.7333,map_nadir,54.76,54.76,0.0
septic_shock,lactate_clearance_factor,metabolism,0.7333,lactate_peak,1.525,1.518,0.007
septic_shock,lactate_clearance_factor,metabolism,0.7333,rescue_margin,0.996,0.996,0.0
septic_shock,lactate_clearance_factor,metabolism,0.875,spo2_nadir,96.22,96.22,0.0
septic_shock,lactate_clearance_factor,metabolism,0.875,map_nadir,54.76,54.76,0.0
septic_shock,lactate_clearance_factor,metabolism,0.875,lactate_peak,1.521,1.518,0.003
septic_shock,lactate_clearance_factor,metabolism,0.875,rescue_margin,0.996,0.996,0.0
septic_shock,lactate_clearance_factor,metabolism,1.0167,spo2_nadir,96.22,96.22,0.0
