scenario,variable,module,kind,min,max,final,hard_low,hard_high,expected_low,expected_high,status,run_error
picu_insulin_stress_hyperglycemia_v1_16,vq_neonatal_weight,GasExchangeModule,index,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,ETT_failure_risk,Step4 integrated airway/pharmacology/monitoring modules,risk,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,ETT_position_score,Step4 integrated airway/pharmacology/monitoring modules,score,1.0,1.0,1.0,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,EtCO2_proxy,Step4 integrated airway/pharmacology/monitoring modules,proxy,35.0,81.28669210802782,72.96528115450546,0.0,150.0,15.0,80.0,REVIEW,
picu_insulin_stress_hyperglycemia_v1_16,HFNC_failure_risk,Step4 integrated airway/pharmacology/monitoring modules,risk,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,NIV_failure_risk,Step4 integrated airway/pharmacology/monitoring modules,risk,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,NIV_leak_fraction,Step4 integrated airway/pharmacology/monitoring modules,fraction,0.28,0.28,0.28,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,airway_event_hypoxia_burden,Step4 integrated airway/pharmacology/monitoring modules,burden,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,airway_protection_score,Step4 integrated airway/pharmacology/monitoring modules,score,1.0,1.0,1.0,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,aspiration_risk,Step4 integrated airway/pharmacology/monitoring modules,risk,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
